Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,539.25,567.55,525.00,537.30,16600,533.30
2016-05-02,602.00,615.20,523.00,535.05,40100,531.07
2016-04-01,592.10,643.00,515.55,602.90,29300,598.41
2016-03-01,615.00,662.30,572.50,600.60,11500,596.13
2016-02-01,622.00,649.00,514.35,618.15,17900,613.55
2016-01-01,698.30,698.30,573.55,617.75,22300,613.15
2015-12-01,695.15,727.25,660.00,694.05,10500,688.88
2015-11-02,675.00,702.00,650.00,691.80,18400,686.65
2015-10-01,693.00,747.00,656.00,678.40,29200,673.35
2015-09-01,704.10,743.25,621.00,684.55,15700,679.45
2015-08-03,717.10,754.65,641.25,713.80,33900,708.49
2015-07-01,666.00,791.70,656.00,710.95,44900,705.66
2015-06-01,551.70,698.00,533.40,662.65,44000,654.73
2015-05-01,474.05,560.35,451.70,551.35,57200,544.76
2015-04-01,461.00,508.70,443.00,474.05,34700,468.39
2015-03-02,407.55,465.00,402.55,453.25,49000,447.84
2015-02-02,471.00,489.20,381.90,409.05,44400,404.16
2015-01-01,452.00,494.65,443.00,471.10,29800,465.47
2014-12-01,424.00,468.00,403.95,444.50,20700,439.19
2014-11-03,410.00,469.00,402.00,420.60,34800,415.58
2014-10-01,416.20,426.70,381.00,407.05,35000,402.19
2014-09-01,373.50,449.70,371.05,413.15,62600,408.21
2014-08-01,345.00,408.00,332.00,370.30,49700,365.88
2014-07-01,268.90,370.35,268.90,346.45,112700,342.31
2014-06-02,252.95,285.45,238.00,266.55,51100,260.94
2014-05-01,297.55,303.95,228.00,246.05,48800,240.87
2014-04-01,283.85,315.70,268.10,297.55,69400,291.28
2014-03-03,269.90,309.90,246.15,283.85,127300,277.87
2014-02-03,223.00,273.00,215.15,267.65,55100,262.01
2014-01-01,212.25,245.30,206.70,222.20,83000,217.52
2013-12-02,206.90,221.30,190.00,210.60,52300,206.16
2013-11-01,197.00,222.95,192.80,204.85,72500,200.53
2013-10-01,140.50,204.20,139.90,198.20,110800,194.02
2013-09-02,135.75,152.05,130.05,139.35,42500,136.41
2013-08-01,155.00,164.00,125.50,134.30,73900,131.47
2013-07-01,132.30,167.50,117.50,154.45,110100,151.20
2013-06-03,135.00,148.80,117.85,132.55,146400,127.61
2013-05-01,114.15,144.00,114.15,136.05,165500,130.98
2013-04-01,105.45,120.00,103.15,114.15,72200,109.90
2013-03-01,82.00,112.90,80.00,104.15,160100,100.27
2013-02-01,77.70,84.80,72.40,83.25,53200,80.15
2013-01-01,73.00,80.00,68.10,78.00,93700,75.09
2012-12-03,64.10,74.00,63.60,72.30,64700,69.61
2012-11-01,67.70,70.40,61.75,63.70,29800,61.33
2012-10-01,72.00,73.80,65.55,67.65,51000,65.13
2012-09-03,69.85,78.95,68.00,71.50,101800,68.84
2012-08-01,60.35,74.25,58.10,69.65,132500,67.06
2012-07-02,55.45,62.50,54.60,59.95,70400,57.72
2012-06-01,49.20,57.60,47.50,55.60,54500,52.29
2012-05-01,54.15,56.65,47.70,49.50,35700,46.56
2012-04-02,49.00,59.95,48.10,54.25,107100,51.02
2012-03-01,45.70,50.30,41.65,48.40,51600,45.52
2012-02-01,38.00,48.90,38.00,45.00,81700,42.32
2012-01-02,35.20,42.70,34.00,38.25,20500,35.97
2011-12-01,42.45,43.00,35.30,35.45,9900,33.34
2011-11-01,44.50,49.95,38.00,41.30,15800,38.84
2011-10-03,41.20,47.05,39.15,44.75,21100,42.09
2011-09-20,45.00,51.00,40.00,42.03,49100,39.53
