Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,558.70001,585.00,525.04999,542.90002,2400,542.90002
2016-05-02,573.25,635.00,557.00,569.29999,3500,569.29999
2016-04-01,484.00,577.00,484.00,567.09998,3100,567.09998
2016-03-01,525.00,560.00,482.25,484.00,6600,484.00
2016-02-01,594.75,606.00,470.00,525.00,4000,525.00
2016-01-01,655.00,685.00,528.75,591.25,3600,591.25
2015-12-01,640.25,679.00,595.50,659.00,3100,659.00
2015-11-02,683.00,732.00,602.00,640.00,2700,640.00
2015-10-01,682.00,738.00,661.00,689.75,2600,689.75
2015-09-01,679.00,727.50,593.00,672.50,5100,672.50
2015-08-03,688.00,799.00,556.50,679.00,15000,675.06238
2015-07-01,544.00,744.50,500.00,686.25,23100,682.27032
2015-06-01,525.75,572.50,0.01,538.50,4100,535.37714
2015-05-01,541.00,560.00,491.00,539.00,8900,535.87427
2015-04-01,550.00,569.00,475.00,541.00,7700,537.86267
2015-03-02,590.00,615.00,470.25,545.50,7500,542.33655
2015-02-02,566.75,645.00,521.00,594.00,5800,590.5553
2015-01-01,610.00,644.95001,561.25,566.25,2100,562.96625
2014-12-01,600.09998,640.00,555.70001,597.50,6700,594.03497
2014-11-03,602.00,690.90002,576.70001,612.00,4400,608.45093
2014-10-01,634.90002,642.40002,560.04999,609.20001,2200,605.66718
2014-09-01,568.79999,714.90002,562.79999,626.59998,9700,622.96619
2014-08-01,360.00,672.95001,360.00,569.84998,9700,563.0329
2014-07-01,411.89999,433.00,340.00,363.95001,3500,359.59613
2014-06-02,241.00,414.00,241.00,396.04999,10900,391.31207
2014-05-01,239.05,304.50,225.30,252.10001,8600,249.08417
2014-04-01,190.00,270.00,170.64999,239.05,6200,236.19028
2014-03-03,177.89999,192.00,163.05,183.85001,4600,181.65063
2014-02-03,171.05,185.20,156.00,174.64999,3000,172.56067
2014-01-01,204.85001,207.50,166.25,170.10001,4100,168.06512
2013-12-02,132.00,240.00,132.00,205.00,14600,202.54761
2013-11-01,129.95,139.89999,119.00,133.00,13400,131.40894
2013-10-01,115.55,154.50,115.00,130.00,15800,128.44482
2013-09-02,103.55,125.00,103.55,117.50,14100,116.09436
2013-08-01,105.00,113.90,90.00,105.00,8200,100.92732
2013-07-01,94.00,114.00,86.45,103.00,2900,99.0049
2013-06-03,101.90,105.00,93.25,94.00,700,90.35398
2013-05-01,82.50,105.00,81.30,102.20,1100,98.23592
2013-04-01,87.10,91.75,81.30,82.50,500,79.30004
2013-03-01,93.65,100.00,81.60,86.95,1200,83.57743
2013-02-01,103.00,109.80,89.00,90.00,900,86.50913
2013-01-01,113.50,120.90,105.00,107.85,2700,103.66678
2012-12-03,115.00,125.00,92.10,113.50,3000,109.09763
2012-11-01,94.75,127.00,91.05,111.00,7100,106.6946
2012-10-01,91.95,106.10,83.05,92.40,2600,88.81604
2012-09-03,124.00005,135.00,85.50,89.50,6000,86.02853
2012-08-01,108.75,126.00,106.00005,121.05,8500,77.56985
2012-07-02,96.10005,106.99995,95.59995,105.00,1400,63.8549
2012-06-01,94.99995,106.60005,88.99995,97.20,1100,59.11139
2012-05-01,111.00,129.89999,90.14999,92.80005,8100,56.43559
2012-04-02,97.99995,127.99995,91.99995,111.19995,4300,67.62534
2012-03-01,109.99995,109.99995,90.00,92.14995,1000,56.04024
2012-02-01,105.00,115.00005,96.04996,103.05,1400,62.66901
2012-01-02,91.00005,115.99995,88.99995,103.80,2100,63.12512
2011-12-01,100.00005,106.95,87.34995,94.00005,1500,57.16536
2011-11-01,127.00005,130.79999,92.59995,100.00005,1700,60.81422
2011-10-03,121.99995,148.99994,117.45,129.00,1100,78.4503
2011-09-02,132.00,137.70001,112.05,124.80,2400,75.8961
2011-08-01,145.00006,153.00,112.05,116.80005,3000,71.031
2011-07-01,121.39995,159.85049,115.39995,147.04996,14900,85.46735
2011-06-01,122.50005,131.80005,114.25005,124.50,1600,72.36103
2011-05-02,112.75005,121.95,102.14999,120.00,1400,69.74557
2011-04-01,107.55,115.99995,91.00005,112.75005,1700,65.53181
2011-03-01,111.00,121.00005,91.99995,107.89995,1200,62.71286
2011-02-01,133.00006,138.00,101.29996,109.99995,1700,63.93341
2011-01-03,130.00006,148.99994,125.50005,131.44995,7800,76.40043
2010-12-01,130.00006,139.90005,121.60005,130.79999,2900,76.02267
2010-11-01,130.30005,151.50,105.10005,130.00006,2500,75.55773
2010-10-01,141.89999,153.4995,127.99995,130.04999,7400,75.58676
2010-09-01,137.29996,158.39999,132.14999,139.00006,11400,80.78865
2010-08-02,139.39995,156.00,129.00,131.29996,7500,76.31325
2010-07-01,131.89995,148.99994,126.00,139.09995,9900,77.35943
2010-06-01,120.00,130.00006,114.25005,128.89995,2900,71.68678
2010-05-03,120.00,153.00,100.00005,118.99995,15600,66.18096
2010-04-01,117.00,133.99994,109.99995,126.00,3400,70.07399
2010-03-02,117.04996,121.99995,109.99995,116.14995,3900,64.59595
2010-02-01,124.99995,138.00,102.00,115.30005,8100,64.12329
2010-01-01,111.60001,166.95001,108.00,128.05005,18500,71.21411
