Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,241.00,352.60,237.00,347.35,91100,347.35
2016-05-02,225.00,246.70,206.00,240.80,8600,240.80
2016-04-01,199.90,229.70,197.50,223.50,5800,223.50
2016-03-01,176.00,207.20,176.00,195.00,12700,195.00
2016-02-01,184.90,204.00,171.10,178.10,16000,178.10
2016-01-01,245.50,258.50,177.20,202.70,11900,202.70
2015-12-01,246.00,254.60,214.00,245.00,19900,245.00
2015-11-02,249.00,249.00,225.90,245.00,13400,245.00
2015-10-01,239.90,261.40,237.10,245.70,30900,245.70
2015-09-01,245.00,258.00,228.10,239.30,46600,239.30
2015-08-03,267.80,277.40,190.50,246.90,106500,245.59
2015-07-01,180.90,304.00,180.00,266.50,281600,265.09
2015-06-01,168.80,202.00,167.10,178.70,103100,177.76
2015-05-01,140.50,181.90,129.00,167.50,103400,166.61
2015-04-01,148.00,172.70,123.20,140.50,82300,139.76
2015-03-02,114.90,160.60,114.40,147.10,228800,146.32
2015-02-02,126.50,131.70,105.20,114.20,156300,113.60
2015-01-01,99.90,139.85,97.00,127.70,210000,127.02
2014-12-01,113.00,120.90,86.85,101.05,76800,100.52
2014-11-03,100.25,114.70,92.20,112.60,159000,112.00
2014-10-01,72.10,108.35,64.00,99.70,220900,99.17
2014-09-01,64.15,78.90,63.00,72.65,36800,72.27
2014-08-01,62.10,73.40,61.00,64.10,54300,62.93
2014-07-01,50.70,65.00,49.30,62.80,65500,61.65
2014-06-02,45.00,48.30,39.20,48.30,7700,47.42
2014-05-01,41.05,48.50,37.65,46.40,10800,45.55
2014-04-01,34.30,48.20,32.00,41.05,15500,40.30
2014-03-03,31.65,43.15,31.65,36.75,16700,36.08
2014-02-03,32.00,34.50,29.00,32.85,27400,32.25
2014-01-01,33.05,39.20,30.75,31.15,20400,30.58
2013-12-02,29.50,32.85,28.00,31.50,9300,30.92
2013-11-01,25.55,35.00,25.55,29.50,12200,28.96
2013-10-01,23.00,30.00,19.50,26.10,4900,25.62
2013-09-02,20.15,25.00,17.65,21.05,4800,20.66
2013-08-01,16.25,22.00,16.00,19.70,1500,18.60
2013-07-01,20.00,21.95,15.60,16.65,1800,15.72
2013-06-03,23.90,24.65,19.40,20.00,4600,18.89
2013-05-01,17.50,24.75,17.00,20.95,4100,19.78
2013-04-01,18.25,22.95,14.45,17.50,3400,16.53
2013-03-01,22.90,23.90,14.75,16.90,8700,15.96
2013-02-01,29.45,29.45,21.15,21.95,14500,20.73
2013-01-01,30.55,32.60,26.00,27.05,6400,25.54
2012-12-03,32.00,33.90,28.60,29.45,7000,27.81
2012-11-01,32.65,37.20,30.95,32.15,4100,30.36
2012-10-01,36.50,36.50,31.75,33.95,4000,32.06
2012-09-03,28.00,36.40,27.50,34.80,19800,32.86
2012-08-01,26.20,34.45,23.15,28.85,10600,26.86
2012-07-02,24.15,30.50,23.10,24.10,5700,22.44
2012-06-01,24.00,28.75,22.10,24.10,1900,22.44
2012-05-01,29.40,30.00,22.20,25.00,2600,23.27
2012-04-02,29.75,34.00,26.80,29.20,2900,27.18
2012-03-01,31.85,33.00,28.20,29.40,4300,27.37
2012-02-01,31.40,35.15,28.35,33.00,5800,30.72
2012-01-02,26.45,33.90,24.00,30.00,7600,27.93
2011-12-01,30.10,36.75,21.05,22.70,5900,21.13
2011-11-01,34.10,36.70,26.65,30.50,6300,28.39
2011-10-03,36.15,36.35,32.65,34.85,2900,32.44
2011-09-02,32.35,39.45,31.60,35.00,4900,32.58
2011-08-01,37.50,39.95,27.70,34.00,33400,31.23
2011-07-01,40.00,45.30,37.00,37.70,8900,34.62
2011-06-01,49.50,49.50,39.00,40.95,6800,37.61
2011-05-02,52.30,55.00,42.25,48.95,7100,44.96
2011-04-01,47.25,61.70,47.20,53.35,37300,49.00
2011-03-01,49.30,49.70,44.70,46.00,17300,42.25
2011-02-01,53.40,56.75,46.60,48.70,15200,44.73
2011-01-03,62.90,63.40,52.50,54.50,19300,50.05
2010-12-01,64.00,67.35,56.00,61.60,36700,56.57
2010-11-01,83.10,88.90,57.10,62.55,74800,57.45
2010-10-01,81.70,92.90,81.00,82.05,192300,75.36
2010-09-01,75.20,86.00,74.50,79.85,198900,73.34
2010-08-02,70.40,83.15,69.90,74.50,360500,68.42
2010-07-01,73.60,79.90,69.00,69.40,192800,62.89
2010-06-01,62.10,75.80,58.00,73.55,333300,66.65
2010-05-03,58.00,66.30,52.00,62.50,227300,56.64
2010-04-01,49.45,64.70,49.00,59.95,265500,54.33
2010-03-02,46.00,55.50,45.00,49.00,159100,44.40
2010-02-01,68.20,86.70,44.00,45.80,737000,41.50
2010-01-04,84.55,91.80,67.00,68.50,303400,62.07
