Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,5.91,7.29,5.75,6.32,478000,6.32
2016-05-02,7.37,8.30,5.91,5.91,850000,5.91
2016-04-01,5.30,7.19,4.77,7.19,1048300,7.19
2016-03-01,8.97,9.10,5.10,5.30,1014500,5.30
2016-02-01,11.05,11.23,6.10,8.55,538300,8.55
2016-01-01,13.55,16.65,10.95,11.11,975200,11.11
2015-12-01,19.00,20.60,13.00,13.55,1182700,13.55
2015-11-02,24.20,24.70,18.60,18.90,319200,18.90
2015-10-01,20.95,30.45,17.15,23.65,750800,23.65
2015-09-01,57.50,57.50,22.05,22.05,14000,22.05
2015-08-03,167.90,167.90,60.50,60.50,24000,60.50
2015-07-01,240.00,362.00,176.70,176.70,155300,176.70
2015-06-01,180.65,236.50,0.01,236.35,198300,236.35
2015-05-01,105.25,189.70,105.25,180.65,515100,180.65
2015-04-01,55.40,109.55,55.15,105.25,458900,105.25
2015-03-02,62.50,64.50,40.70,55.10,244200,55.10
2015-02-02,67.20,69.30,59.60,61.45,99100,61.45
2015-01-01,77.80,81.10,65.90,66.85,133700,66.85
2014-12-01,87.85,87.85,66.05,76.95,178300,76.95
2014-11-03,94.80,98.80,85.75,87.30,153000,87.171
2014-10-01,92.85,110.40,91.15,93.30,50700,93.162
2014-09-01,101.60,121.85,91.05,92.90,189700,92.763
2014-08-01,91.05,104.50,88.25,100.60,118900,100.451
2014-07-01,99.80,105.00,87.80,91.35,61900,91.215
2014-06-02,77.80,137.85,71.30,98.70,997000,98.554
2014-05-01,76.95,85.00,72.00,74.90,84200,74.789
2014-04-01,84.70,88.10,76.00,76.95,46400,76.836
2014-03-03,63.75,91.90,62.75,84.30,215200,84.175
2014-02-03,57.20,69.30,55.00,64.10,47000,63.927
2014-01-01,64.90,69.20,56.00,56.30,17000,56.148
2013-12-02,72.00,84.95,54.50,64.60,73400,64.425
2013-11-01,66.00,72.90,63.15,67.40,2500,67.218
2013-10-01,61.00,70.80,60.35,64.20,4100,64.026
2013-09-02,71.10,74.00,59.65,60.20,5300,60.037
2013-08-01,52.00,79.95,49.00,72.30,11200,72.104
2013-07-01,68.00,72.00,49.00,51.45,10000,51.311
2013-06-03,94.55,101.30,66.00,66.95,193400,66.769
2013-05-01,90.65,106.60,80.15,94.30,493200,94.045
2013-04-01,72.05,95.90,64.80,90.65,151100,90.405
2013-03-01,94.00,108.45,66.70,70.50,385900,70.309
2013-02-01,99.45,104.20,88.05,94.65,262600,94.394
2013-01-01,108.00,121.75,97.00,99.35,67500,99.081
2012-12-03,107.00,126.35,99.00,105.65,34600,105.364
2012-11-01,96.95,121.00,94.15,103.35,74500,102.982
2012-10-01,96.30,106.90,93.05,96.35,191100,96.007
2012-09-03,98.80,104.95,88.45,96.75,172900,96.405
2012-08-01,91.70,101.00,80.80,97.85,218800,97.501
2012-07-02,104.00,104.95,88.05,91.55,250500,91.224
2012-06-01,102.30,105.75,98.50,103.85,220000,103.48
2012-05-01,105.00,107.00,88.00,101.80,221200,101.437
2012-04-02,106.00,113.00,102.00,105.30,167400,104.925
2012-03-01,99.45,112.50,90.10,107.00,248100,106.619
2012-02-01,99.50,114.90,91.55,99.45,239300,99.096
2012-01-02,95.00,102.70,79.00,99.25,113900,98.896
2011-12-01,98.00,100.80,83.50,95.55,97200,95.21
2011-11-01,147.45,148.50,67.00,96.85,162300,96.088
2011-10-03,138.00,152.00,130.40,144.95,52200,71.905
2011-09-02,113.00,143.30,106.70,137.55,388300,68.234
2011-08-01,115.85,121.00,99.00,112.95,540500,56.031
2011-07-01,85.00,120.80,83.50,115.65,1155300,57.37
2011-06-01,86.95,89.20,81.05,85.45,638700,42.389
2011-05-02,92.10,93.70,81.50,86.45,804600,42.885
2011-04-01,81.50,95.50,76.50,91.50,746700,45.39
2011-03-01,71.10,84.85,63.10,81.40,615000,40.38
2011-02-01,78.00,80.50,66.00,70.75,450000,35.097
2011-01-03,68.50,88.60,63.10,77.50,583000,38.445
2010-12-01,61.75,70.55,57.10,68.15,794800,33.807
2010-11-01,63.90,66.50,50.40,61.00,2916000,29.911
2010-10-01,63.85,66.50,61.10,63.25,834500,31.015
2010-09-01,63.65,76.00,62.05,63.45,1611500,31.113
2010-08-02,64.70,67.40,62.65,63.15,535300,30.966
2010-07-01,64.60,66.15,62.80,64.00,322300,31.383
2010-06-01,66.70,74.00,63.60,64.55,465800,31.652
2010-05-03,70.50,72.30,59.10,66.50,3578100,32.608
2010-04-01,70.55,77.40,68.00,70.35,577000,34.496
2010-03-02,67.00,78.00,65.05,69.80,704900,34.227
2010-02-01,53.70,74.95,53.70,65.50,825800,32.118
2010-01-01,49.45,64.50,49.05,53.85,452500,26.405
