Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,0.086,0.092,0.064,0.069,000,0.069
2016-05-02,0.083,0.114,0.061,0.089,000,0.089
2016-04-01,0.047,0.07,0.047,0.066,000,0.066
2016-03-01,0.025,0.051,0.025,0.051,000,0.051
2016-02-01,0.033,0.039,0.023,0.025,000,0.025
2016-01-01,0.026,0.027,0.017,0.018,000,0.018
2015-12-01,0.032,0.057,0.023,0.026,000,0.026
2015-11-02,0.05,0.051,0.028,0.05,000,0.05
2015-10-01,0.041,0.052,0.026,0.041,000,0.041
2015-09-01,0.032,0.035,0.023,0.03,000,0.03
2015-08-03,0.043,0.043,0.026,0.029,000,0.029
2015-07-01,0.065,0.068,0.041,0.046,000,0.046
2015-06-01,0.059,0.078,0.054,0.068,000,0.068
2015-05-01,0.091,0.10,0.059,0.061,000,0.061
2015-04-01,0.074,0.107,0.073,0.091,000,0.091
2015-03-02,0.075,0.082,0.061,0.081,000,0.081
2015-02-02,0.073,0.075,0.06,0.068,000,0.068
2015-01-01,0.078,0.096,0.067,0.072,000,0.072
2014-12-01,0.056,0.084,0.054,0.078,000,0.078
2014-11-03,0.082,0.083,0.054,0.054,000,0.054
2014-10-01,0.099,0.099,0.071,0.075,000,0.075
2014-09-01,0.095,0.12,0.094,0.099,000,0.099
2014-08-01,0.113,0.119,0.086,0.097,000,0.097
2014-07-01,0.13,0.134,0.118,0.12,000,0.12
2014-06-02,0.135,0.166,0.103,0.124,000,0.124
2014-05-01,0.139,0.139,0.114,0.129,000,0.129
2014-04-01,0.174,0.174,0.13,0.139,000,0.139
2014-03-03,0.211,0.222,0.168,0.174,000,0.174
2014-02-03,0.227,0.228,0.167,0.209,000,0.209
2014-01-01,0.204,0.24,0.174,0.21,000,0.21
2013-12-02,0.179,0.206,0.163,0.204,000,0.204
2013-11-01,0.266,0.279,0.165,0.181,000,0.181
2013-10-01,0.272,0.279,0.195,0.266,000,0.266
2013-09-02,0.306,0.369,0.262,0.295,000,0.295
2013-08-01,0.154,0.344,0.148,0.344,000,0.344
2013-07-01,0.213,0.224,0.155,0.162,000,0.162
2013-06-03,0.268,0.288,0.175,0.235,000,0.235
2013-05-01,0.285,0.29,0.199,0.259,000,0.259
2013-04-01,0.367,0.388,0.256,0.285,000,0.285
2013-03-01,0.447,0.495,0.367,0.367,000,0.367
2013-02-01,0.51,0.562,0.455,0.455,000,0.455
2013-01-01,0.554,0.60,0.496,0.516,000,0.516
2012-12-03,0.489,0.645,0.443,0.554,000,0.554
2012-11-01,0.51,0.557,0.453,0.489,000,0.489
2012-10-01,0.607,0.613,0.513,0.513,000,0.513
2012-09-03,0.612,0.753,0.591,0.629,000,0.629
2012-08-01,0.608,0.661,0.554,0.588,000,0.588
2012-07-02,0.559,0.634,0.514,0.628,000,0.628
2012-06-01,0.59,0.688,0.512,0.54,000,0.54
2012-05-01,0.80,0.838,0.582,0.599,000,0.599
2012-04-02,1.084,1.084,0.79,0.80,000,0.80
2012-03-01,1.045,1.217,1.00,1.023,000,1.023
2012-02-01,1.065,1.201,0.994,1.045,000,1.045
2012-01-02,1.10,1.358,1.098,1.10,000,1.10
2011-12-01,1.068,1.164,0.941,1.125,000,1.125
2011-11-01,0.905,1.214,0.905,1.006,000,1.006
2011-10-03,0.886,0.896,0.70,0.896,000,0.896
2011-09-01,0.922,1.139,0.871,0.926,000,0.926
2011-08-01,1.045,1.045,0.756,0.834,000,0.834
2011-07-01,0.966,1.082,0.938,1.001,000,1.001
2011-06-01,1.07,1.125,0.878,0.999,000,0.999
2011-05-02,0.97,1.043,0.91,1.043,000,1.043
2011-04-01,1.01,1.01,0.91,0.97,000,0.97
2011-03-01,1.252,1.252,0.893,1.01,000,1.01
2011-02-21,1.25,1.25,1.25,1.25,000,1.25
