Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,564.95,637.95,545.00,603.00,3400,603.00
2016-05-02,589.05,592.00,545.20,553.35,3400,553.35
2016-04-01,563.00,674.00,550.05,581.80,6300,581.80
2016-03-01,518.00,585.00,518.00,554.05,2600,546.95
2016-02-01,689.50,732.00,491.00,514.30,6600,507.71
2016-01-01,677.95,750.00,603.05,680.20,6300,671.48
2015-12-01,652.55,699.00,601.00,685.70,4900,676.91
2015-11-02,639.05,676.00,604.15,644.00,3700,635.75
2015-10-01,648.90,733.00,625.15,635.95,16900,627.80
2015-09-01,562.05,658.00,531.15,639.15,15500,630.96
2015-08-03,585.00,745.00,521.00,580.30,26000,572.86
2015-07-01,471.00,597.45,452.00,571.95,10100,564.62
2015-06-01,461.50,484.90,420.15,472.25,4300,466.20
2015-05-01,408.75,477.90,380.10,459.70,7100,453.81
2015-04-01,343.00,453.30,336.65,408.75,19100,403.51
2015-03-02,350.00,365.00,331.00,339.55,11000,335.20
2015-02-02,381.00,395.75,327.20,335.50,5000,331.20
2015-01-01,372.00,398.45,355.20,381.40,5600,376.51
2014-12-01,395.00,413.95,357.90,372.50,2900,367.73
2014-11-03,412.60,445.00,366.00,388.45,6300,383.47
2014-10-01,590.00,629.00,353.10,416.10,52800,410.77
2014-09-01,470.00,588.45,450.10,586.65,16100,579.13
2014-08-01,473.40,473.40,430.00,465.95,3000,459.98
2014-07-01,430.00,485.00,430.00,462.90,3200,456.97
2014-06-02,452.45,555.00,425.05,442.70,18900,437.03
2014-05-01,401.20,464.40,392.00,450.40,4700,441.32
2014-04-01,368.65,447.65,368.50,401.20,9900,393.11
2014-03-03,356.00,393.70,355.20,373.05,8500,365.53
2014-02-03,366.95,378.80,346.00,355.95,5200,348.77
2014-01-01,360.70,409.95,360.05,366.50,13700,359.11
2013-12-02,354.00,370.00,335.50,361.90,23000,354.60
2013-11-01,200.00,364.75,200.00,352.75,46400,345.64
2013-10-01,228.00,240.95,194.00,200.05,2500,196.02
2013-09-02,200.00,247.00,190.05,231.15,2900,226.49
2013-08-01,159.95,209.45,159.95,199.30,2100,195.28
2013-07-01,164.05,180.00,152.30,161.10,1000,157.85
2013-06-03,180.80,182.95,160.30,166.95,700,163.58
2013-05-01,188.70,214.00,180.00,182.35,600,178.67
2013-04-01,191.50,200.90,183.00,188.70,1000,184.89
2013-03-01,203.00,209.05,185.00,187.60,1200,180.04
2013-02-01,236.00,242.00,193.00,199.05,1600,191.03
2013-01-01,240.00,247.00,228.05,235.10,900,225.62
2012-12-03,244.95,254.90,236.05,241.40,800,231.67
2012-11-01,247.00,251.95,229.65,239.60,900,229.94
2012-10-01,251.95,259.00,241.25,243.55,1400,233.73
2012-09-03,237.65,265.95,227.20,249.75,3400,239.68
2012-08-01,245.00,254.60,228.00,230.50,1300,221.21
2012-07-02,258.50,278.65,238.00,241.10,1400,231.38
2012-06-01,247.00,262.00,242.90,255.70,600,245.39
2012-05-01,279.55,300.00,240.65,251.20,1200,241.07
2012-04-02,282.00,323.85,270.00,279.90,5300,264.42
2012-03-01,277.70,298.00,263.00,276.65,3700,261.35
2012-02-01,217.60,288.90,216.05,274.55,8000,259.36
2012-01-02,199.95,219.45,192.25,216.45,700,204.48
2011-12-01,205.00,209.70,184.40,192.70,800,182.04
2011-11-01,222.00,229.95,195.15,200.95,1200,189.83
2011-10-03,239.80,245.35,218.05,221.80,1800,209.53
2011-09-02,224.30,249.50,218.35,226.05,1700,213.54
2011-08-01,255.65,257.50,218.80,225.25,1400,212.79
2011-07-01,255.00,269.60,247.30,255.25,2100,241.13
2011-06-01,260.70,284.75,239.00,252.55,3100,238.58
2011-05-02,261.00,281.70,242.25,260.70,2800,246.28
2011-04-01,236.00,275.75,232.10,258.50,3400,244.20
2011-03-01,232.50,240.00,212.25,233.85,3200,217.66
2011-02-01,226.50,255.00,211.60,232.35,2000,216.26
2011-01-03,260.60,275.00,222.40,234.60,1600,218.36
2010-12-01,265.00,275.00,238.20,260.95,2900,242.88
2010-11-01,290.00,339.90,240.05,261.55,7100,243.44
2010-10-01,310.50,327.50,278.20,279.00,7300,259.68
2010-09-01,295.15,341.50,281.25,309.10,26500,287.70
2010-08-02,280.80,324.90,271.55,296.80,25100,276.25
2010-07-01,292.00,329.95,288.25,288.75,19600,268.76
2010-06-01,285.25,313.00,276.00,293.00,10600,272.71
2010-05-03,304.50,309.90,263.55,290.00,13700,269.92
2010-04-01,224.00,321.40,222.60,301.55,92000,276.71
2010-03-02,203.95,239.90,200.30,220.55,14800,202.38
2010-02-01,192.00,238.00,188.00,202.00,10300,185.36
2010-01-01,200.00,221.00,183.10,189.00,6600,173.43
