Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,237.50,265.00,235.65,261.95,76600,260.95
2016-05-02,249.00,257.05,230.80,235.45,43500,234.55
2016-04-01,233.10,273.85,218.75,252.35,13200,251.39
2016-03-01,222.00,253.00,219.60,231.40,49000,230.52
2016-02-01,255.00,255.00,192.30,221.70,24400,220.85
2016-01-01,302.25,318.15,245.50,250.40,56600,249.44
2015-12-01,286.40,304.35,273.20,301.40,59900,300.25
2015-11-02,276.00,296.00,252.75,285.60,105300,284.51
2015-10-01,292.95,311.00,274.00,276.00,31500,274.95
2015-09-01,284.10,300.00,244.80,288.75,50200,287.65
2015-08-03,332.00,364.25,233.95,287.25,80100,286.15
2015-07-01,324.95,374.90,319.00,331.00,63600,328.78
2015-06-01,312.40,348.00,0.01,326.90,88100,324.71
2015-05-01,275.60,315.00,246.00,311.40,90700,309.31
2015-04-01,260.00,311.50,260.00,275.60,76000,273.75
2015-03-02,209.10,291.10,207.50,260.40,110000,258.66
2015-02-02,205.00,213.90,186.00,208.60,62600,207.20
2015-01-01,180.00,222.20,170.00,206.35,131400,204.97
2014-12-01,184.80,196.70,155.00,179.75,140800,178.55
2014-11-03,133.40,193.95,130.85,184.55,283800,183.31
2014-10-01,104.60,136.80,97.00,131.85,85100,130.97
2014-09-01,98.30,117.00,90.20,103.35,113700,102.66
2014-08-01,87.10,103.00,82.50,98.10,148500,97.44
2014-07-01,67.15,89.50,65.75,87.40,115900,86.81
2014-06-02,67.00,69.80,58.10,67.50,52600,66.60
2014-05-01,52.85,67.85,51.40,66.30,158500,65.41
2014-04-01,45.70,57.30,43.90,52.85,131700,52.14
2014-03-03,42.20,46.35,40.45,45.70,112300,45.09
2014-02-03,35.50,44.10,33.15,42.95,57600,42.37
2014-01-01,34.35,39.60,33.70,34.90,45600,34.43
2013-12-02,28.40,38.40,28.00,34.55,400700,34.09
2013-11-01,23.00,29.65,22.60,28.45,211000,28.07
2013-10-01,18.90,23.40,18.50,22.75,132500,22.45
2013-09-02,15.85,21.00,15.70,18.70,110700,18.45
2013-08-01,16.70,16.90,14.05,15.60,49100,15.39
2013-07-01,15.55,20.00,15.55,16.50,164800,16.28
2013-06-03,17.50,19.15,15.40,15.70,65600,15.49
2013-05-01,17.50,19.25,16.85,17.50,84400,17.27
2013-04-01,16.80,19.70,16.75,17.50,103400,17.27
2013-03-01,18.80,19.45,16.10,16.70,101000,16.48
2013-02-01,21.60,22.55,18.25,18.55,78000,18.30
2013-01-01,23.75,24.95,21.00,21.30,171000,21.01
2012-12-03,24.40,24.75,22.00,23.20,111000,22.89
2012-11-01,21.50,24.90,20.50,24.35,123000,24.02
2012-10-01,19.25,26.40,19.05,21.15,1042600,20.87
2012-09-03,18.00,19.90,17.75,18.90,226800,18.65
2012-08-01,17.35,20.15,17.05,17.85,131500,17.61
2012-07-02,20.40,21.95,16.80,17.45,196900,17.22
2012-06-01,17.85,21.45,17.20,20.40,136200,20.13
2012-05-01,22.10,22.40,17.50,17.95,84700,17.71
2012-04-02,23.00,24.90,21.65,22.00,132800,21.71
2012-03-01,28.25,32.00,21.15,22.55,290700,22.25
2012-02-01,27.40,31.70,24.80,28.00,954600,27.62
2012-01-02,23.10,29.60,22.85,27.45,29700,27.08
2011-12-01,27.80,28.35,22.25,22.85,9200,22.54
2011-11-01,34.55,35.60,26.50,27.55,20800,27.18
2011-10-03,35.55,36.75,33.50,34.80,15200,34.33
2011-09-02,40.10,40.90,35.30,35.85,29600,35.37
2011-08-01,45.55,46.25,37.25,39.90,26000,38.87
2011-07-01,38.85,45.60,37.90,44.95,68600,43.79
2011-06-01,44.50,45.50,36.15,38.45,53200,37.46
2011-05-02,49.00,52.80,42.50,43.70,51000,42.58
2011-04-01,50.90,56.00,48.50,48.85,31000,47.59
2011-03-01,48.75,61.00,47.00,49.75,39800,48.47
2011-02-01,48.80,52.50,42.20,48.95,23800,47.69
2011-01-03,55.35,56.20,47.00,47.80,39100,46.57
2010-12-01,55.00,60.70,48.50,54.35,119900,52.95
2010-11-01,69.00,69.65,51.90,55.20,69300,53.78
2010-10-01,70.00,72.90,66.75,68.25,65400,66.49
2010-09-01,73.60,81.80,68.50,68.95,211200,67.18
2010-08-02,73.00,79.35,69.00,72.80,212100,70.48
2010-07-01,64.50,76.00,63.05,72.60,232100,70.29
2010-06-01,55.95,68.00,54.05,64.65,263000,62.59
2010-05-03,65.40,66.60,51.55,55.95,72400,54.17
2010-04-01,60.45,67.35,59.50,65.05,215800,62.98
2010-03-02,59.00,68.65,57.80,59.30,236300,57.41
2010-02-01,58.00,64.00,52.10,57.20,107000,55.38
2010-01-01,68.05,74.80,56.05,58.00,522900,56.15
