Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,20.95,23.55,19.80,22.05,793200,22.05
2016-05-02,22.35,23.00,20.70,20.90,565800,20.90
2016-04-01,20.00,23.05,20.00,22.20,563200,22.20
2016-03-01,19.80,22.95,19.10,20.55,1454100,20.55
2016-02-01,21.50,24.70,18.15,19.55,744000,19.55
2016-01-01,26.40,26.40,20.10,21.35,789000,21.35
2015-12-01,22.45,27.25,20.75,26.05,1269900,26.05
2015-11-02,18.65,23.70,16.75,22.45,793500,22.45
2015-10-01,15.40,21.10,15.00,18.55,1149600,18.55
2015-09-01,16.00,17.00,14.20,15.20,197300,15.20
2015-08-03,16.75,17.75,12.60,16.00,486200,16.00
2015-07-01,13.75,17.75,13.50,16.74,820700,16.74
2015-06-01,12.25,13.75,10.80,13.67,401900,13.67
2015-05-01,11.33,13.38,10.75,12.28,285500,12.28
2015-04-01,12.18,13.80,11.10,11.33,216500,11.33
2015-03-02,14.45,15.30,10.25,12.11,581800,12.11
2015-02-02,13.30,15.71,12.85,14.08,1127800,14.08
2015-01-01,12.24,13.89,11.05,13.25,781600,13.25
2014-12-01,10.85,13.19,9.70,12.07,556700,12.07
2014-11-03,11.10,11.70,10.15,10.59,1491000,10.59
2014-10-01,11.99,12.33,10.52,10.93,410300,10.93
2014-09-01,9.70,14.75,8.93,11.82,1829000,11.82
2014-08-01,9.90,10.45,8.50,9.52,320800,9.52
2014-07-01,9.02,11.78,8.20,10.03,693800,10.03
2014-06-02,7.80,9.47,7.10,8.95,514200,8.95
2014-05-01,6.91,8.29,6.30,8.03,832700,8.03
2014-04-01,4.82,7.04,4.61,6.91,1087600,6.91
2014-03-03,5.15,5.25,4.60,4.70,77800,4.70
2014-02-03,5.18,5.50,4.75,5.05,46400,5.05
2014-01-01,5.00,5.90,4.82,5.25,36700,5.25
2013-12-02,4.95,5.48,4.75,5.05,62600,5.05
2013-11-01,6.25,6.25,4.51,4.98,19000,4.98
2013-10-01,6.25,6.50,5.30,5.65,45200,5.65
2013-09-02,6.30,6.50,5.80,5.90,20400,5.90
2013-08-01,6.97,6.97,5.77,6.06,54900,6.06
2013-07-01,9.25,9.25,6.13,6.70,133800,6.70
2013-06-03,9.50,9.95,8.05,9.25,128500,9.25
2013-05-01,9.54,9.80,9.00,9.08,73900,9.08
2013-04-01,10.10,10.55,9.01,9.54,386400,9.54
2013-03-01,8.61,10.56,8.60,10.07,4433100,10.07
2013-02-01,9.85,10.01,8.70,9.12,240700,9.12
2013-01-01,10.10,10.25,9.66,9.70,258400,9.70
2012-12-03,10.00,10.84,9.50,9.90,386600,9.90
2012-11-01,9.40,11.88,9.20,10.00,341900,10.00
2012-10-01,9.25,9.70,9.20,9.20,122100,9.20
2012-09-03,8.08,9.39,8.00,9.26,174200,9.26
2012-08-01,8.05,9.24,7.90,7.98,193200,7.98
2012-07-02,8.40,9.50,8.00,8.00,3329400,8.00
2012-06-01,8.10,8.74,7.96,8.31,1104200,8.31
2012-05-01,8.45,8.80,7.80,8.06,2059800,8.06
2012-04-02,8.50,9.65,8.40,8.50,132300,8.50
2012-03-01,8.70,8.85,8.45,8.50,230800,8.50
2012-02-01,8.99,9.10,8.60,8.69,137200,8.69
2012-01-02,9.10,9.30,8.80,8.89,479000,8.89
2011-12-01,9.45,9.54,8.75,9.05,320400,9.05
2011-11-01,8.82,9.70,8.15,9.30,423300,9.30
2011-10-03,9.25,9.39,8.65,8.85,95200,8.85
2011-09-02,8.99,9.99,8.71,9.25,293000,9.25
2011-08-01,9.71,9.80,8.49,8.80,829000,8.80
2011-07-01,9.14,10.05,8.85,9.71,1558700,9.71
2011-06-01,8.10,10.00,8.01,8.88,1576300,8.88
2011-05-12,8.60,9.30,7.85,8.15,1613100,8.15
