Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,510.00,557.95,499.00,535.15,5200,532.15
2016-05-02,519.50,572.75,498.25,512.60,10900,509.726
2016-04-01,515.00,535.00,492.75,508.00,1900,505.152
2016-03-01,530.00,540.00,510.25,511.00,1900,508.135
2016-02-01,494.90,557.90,446.00,525.20,4300,522.256
2016-01-01,574.25,594.00,480.00,491.50,8400,488.745
2015-12-01,521.00,594.00,482.75,570.75,20900,567.55
2015-11-02,483.30,520.10,447.90,516.00,21000,513.107
2015-10-01,390.90,509.10,384.00,483.50,23700,480.79
2015-09-01,389.10,400.50,340.00,389.60,4000,387.416
2015-08-03,447.00,470.00,345.00,395.60,7800,389.998
2015-07-01,380.00,472.00,368.30,444.50,26300,438.205
2015-06-01,363.90,402.70,363.00,374.50,16500,369.197
2015-05-01,312.30,402.00,280.00,364.30,23200,359.141
2015-04-01,330.00,359.90,301.00,312.30,11000,307.878
2015-03-02,344.20,353.40,297.10,329.40,14200,324.735
2015-02-02,380.00,386.00,330.10,342.30,8600,337.453
2015-01-01,376.00,410.75,369.30,391.55,8700,386.005
2014-12-01,389.90,442.20,358.10,375.60,17200,370.281
2014-11-03,337.00,414.55,313.60,387.20,30000,381.717
2014-10-01,348.00,377.70,306.05,341.00,8600,336.171
2014-09-01,318.70,375.00,314.00,345.45,18800,340.558
2014-08-01,283.05,324.00,261.55,317.50,22500,310.281
2014-07-01,304.90,337.85,285.00,288.70,10000,282.136
2014-06-02,309.00,347.55,294.70,301.85,11900,294.987
2014-05-01,289.05,364.00,279.00,298.70,27400,291.908
2014-04-01,204.65,324.00,202.10,289.05,39600,282.478
2014-03-03,208.00,215.95,197.00,200.10,8600,195.55
2014-02-03,207.35,228.00,196.00,204.60,8500,199.948
2014-01-01,204.15,255.70,186.55,209.50,11300,204.737
2013-12-02,180.00,224.75,169.00,203.95,8700,199.313
2013-11-01,176.00,194.00,175.10,180.10,1600,176.005
2013-10-01,204.05,236.40,175.20,176.10,7500,172.096
2013-09-02,208.00,224.70,201.50,205.00,700,200.339
2013-08-01,215.15,230.00,194.50,207.30,1100,202.587
2013-07-01,439.00,542.00,210.00,214.00,10100,209.134
2013-06-03,485.00,491.90,342.65,430.85,3400,210.527
2013-05-01,436.15,544.00,418.00,487.00,25700,234.625
2013-04-01,407.00,454.65,392.10,436.15,5700,210.126
2013-03-01,426.95,478.40,390.10,404.65,4200,194.951
2013-02-01,495.90,498.80,409.95,411.00,3000,198.01
2013-01-01,506.00,569.75,447.00,474.45,10200,228.579
2012-12-03,487.00,536.40,458.00,495.75,9600,238.84
2012-11-01,381.50,562.50,378.45,485.70,223800,233.998
2012-10-01,306.95,394.80,283.10,384.30,117700,185.146
2012-09-03,254.70,339.00,250.00,304.50,61200,146.701
2012-08-01,174.00,293.70,171.00,255.00,75700,121.111
2012-07-02,141.50,177.80,141.50,171.25,17400,81.334
2012-06-01,140.15,153.00,134.15,146.75,14600,69.698
2012-05-01,151.25,161.00,133.15,140.05,2100,66.516
2012-04-02,141.50,164.25,141.50,151.55,15400,71.978
2012-03-01,163.00,170.00,136.00,140.00,3800,66.492
2012-02-01,166.00,178.20,150.00,169.85,2900,80.67
2012-01-02,154.95,169.00,150.00,164.95,4200,78.342
2011-12-01,152.10,165.00,140.00,154.95,900,73.593
2011-11-01,176.00,190.00,146.50,156.00,1200,74.092
2011-10-03,161.10,186.95,158.00,177.45,2500,84.279
2011-09-02,179.00,200.00,162.00,172.80,3400,82.071
2011-08-01,219.10,228.00,162.20,171.35,3000,80.307
2011-07-01,194.80,253.00,181.30,221.30,7200,103.718
2011-06-01,201.50,208.30,181.35,187.20,2300,87.736
2011-05-02,239.00,240.25,187.00,196.30,3500,92.001
2011-04-01,182.80,237.00,176.15,234.30,9400,109.81
2011-03-01,170.80,185.00,155.70,181.45,30500,85.041
2011-02-01,190.00,197.85,156.80,162.80,1700,76.30
2011-01-03,234.00,239.80,195.00,195.00,2800,91.391
2010-12-01,178.00,233.00,159.10,231.55,7200,108.521
2010-11-01,210.00,228.90,170.20,180.00,3500,84.361
2010-10-01,248.70,255.00,213.25,214.75,11300,100.648
2010-09-01,181.85,258.45,180.00,243.05,116400,113.911
2010-08-02,183.50,184.85,165.00,180.10,16500,84.408
2010-07-01,173.00,208.90,166.30,180.10,133800,84.408
2010-06-01,160.00,179.40,141.10,172.60,139500,79.31
2010-05-03,214.75,215.00,160.00,161.15,8300,74.049
2010-04-01,209.55,225.00,198.35,215.20,4000,98.885
2010-03-02,200.00,239.90,182.75,203.55,5700,93.532
2010-02-01,194.90,210.00,187.20,198.50,5100,91.212
2010-01-01,205.00,255.90,185.00,191.15,8600,87.834
