Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,945.00,984.35,870.00,940.10,19500,940.10
2016-05-02,1050.00,1081.70,890.00,940.50,13900,940.50
2016-04-01,968.35,1079.30,966.40,1051.95,5700,1051.95
2016-03-01,839.50,989.70,839.50,968.35,16100,968.35
2016-02-01,1099.00,1248.45,779.00,826.75,15400,826.75
2016-01-01,1106.25,1154.00,1000.00,1094.50,7600,1094.50
2015-12-01,1040.00,1113.50,956.75,1099.55,11000,1099.55
2015-11-02,917.75,1045.00,884.75,1025.75,11300,1025.75
2015-10-01,921.75,1004.75,868.00,917.00,14700,915.99
2015-09-01,982.00,1009.50,720.00,909.00,26600,907.99
2015-08-03,836.00,1036.25,767.00,997.25,38500,996.15
2015-07-01,733.00,858.50,680.00,834.75,17700,833.83
2015-06-01,572.50,731.00,555.00,724.50,20600,723.70
2015-05-01,432.10,584.00,405.00,570.80,26200,570.17
2015-04-01,379.90,489.80,379.90,432.10,15900,431.62
2015-03-02,402.00,435.00,353.80,378.80,14900,378.38
2015-02-02,406.65,483.00,383.40,400.20,24500,399.76
2015-01-01,348.85,431.95,318.00,405.30,21900,404.85
2014-12-01,324.00,368.20,255.85,345.40,34500,345.02
2014-11-03,177.40,390.10,174.00,319.50,77700,319.15
2014-10-01,184.35,197.00,165.80,176.25,14000,176.06
2014-09-01,146.05,193.00,130.55,184.30,30600,184.10
2014-08-01,123.90,162.00,121.00,145.60,32400,145.44
2014-07-01,89.50,130.25,86.70,124.20,54400,124.06
2014-06-02,75.00,97.50,69.60,87.15,39000,87.05
2014-05-01,44.50,83.00,43.15,72.95,63100,72.87
2014-04-01,39.35,48.50,38.65,44.50,22600,44.45
2014-03-03,37.00,40.90,32.10,39.40,7900,39.36
2014-02-03,40.85,44.30,36.65,37.15,28400,37.11
2014-01-01,38.40,43.20,36.15,39.25,8800,39.21
2013-12-02,40.00,42.35,35.30,38.10,9100,38.06
2013-11-01,31.60,43.85,31.60,39.45,24800,39.41
2013-10-01,27.05,31.10,25.85,30.10,6200,30.07
2013-09-02,25.25,28.65,23.10,26.40,5500,26.37
2013-08-01,16.95,33.30,13.90,26.55,26500,26.52
2013-07-01,13.25,19.00,13.05,17.05,4200,17.03
2013-06-03,15.30,16.20,13.30,14.00,2200,13.98
2013-05-01,12.20,16.50,11.10,14.39,6600,14.37
2013-04-01,9.12,12.75,9.10,12.20,2300,12.19
2013-03-01,13.19,14.00,9.85,9.90,2900,9.89
2013-02-01,13.70,15.00,12.36,13.05,2900,13.04
2013-01-01,14.50,15.50,13.60,13.70,4400,13.68
2012-12-03,13.30,14.87,13.00,14.25,4000,14.23
2012-11-01,13.45,17.00,11.60,13.92,3900,13.90
2012-10-01,8.20,15.65,8.20,12.60,40400,12.59
2012-09-03,8.10,9.80,7.40,8.66,13800,8.65
2012-08-01,7.14,9.55,7.00,8.34,34300,8.33
2012-07-02,7.60,10.00,6.30,7.19,2600,7.18
2012-06-01,6.16,8.79,5.72,7.99,2200,7.98
2012-05-01,7.00,7.58,6.10,6.80,1700,6.79
2012-04-02,6.50,7.99,6.22,7.00,3000,6.99
2012-03-01,6.81,7.20,5.06,6.66,8700,6.65
2012-02-01,7.12,8.55,6.76,7.01,5500,7.00
2012-01-02,7.50,8.43,6.90,7.61,2500,7.60
2011-12-01,8.71,9.90,6.91,7.31,1100,7.30
2011-11-02,9.03,10.60,7.87,9.30,1100,9.29
2011-10-03,9.25,10.78,9.00,9.32,900,9.31
2011-09-02,9.60,11.15,8.77,9.19,1900,9.18
2011-08-01,11.61,12.10,8.77,10.00,1300,9.99
2011-07-01,11.01,13.74,10.26,12.35,2200,12.34
2011-06-01,13.05,14.24,10.76,12.23,1600,12.22
2011-05-02,13.25,14.45,10.20,12.52,2100,12.51
2011-04-01,15.09,15.80,13.34,13.88,3200,13.86
2011-03-01,14.75,15.85,12.65,14.40,3400,14.38
2011-02-01,13.50,18.05,11.45,15.35,2700,15.33
2011-01-03,16.90,17.30,12.25,13.75,3000,13.73
2010-12-01,18.95,21.10,15.70,16.65,6300,16.63
2010-11-01,20.90,22.40,16.50,18.05,11500,18.03
2010-10-01,18.65,22.00,16.15,21.00,9300,20.98
2010-09-01,18.95,20.70,16.65,18.65,15300,18.63
2010-08-02,13.25,21.10,12.89,19.01,34000,18.99
2010-07-01,8.38,12.86,7.20,12.81,95400,12.80
2010-06-01,11.50,11.90,7.90,7.99,31500,7.98
2010-05-03,9.26,13.78,8.74,10.99,17100,10.98
2010-04-01,9.38,10.65,9.08,9.69,3900,9.68
2010-03-01,9.45,10.10,8.18,9.81,3600,9.80
2010-02-01,10.72,11.49,8.75,8.82,2900,8.81
2010-01-01,11.08,14.00,10.85,11.22,7800,11.21
