Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,13800.00,14566.50,13260.50,13490.50,8600,13466.50
2016-05-02,12598.00,14169.00,12400.00,13794.90,7500,13770.36
2016-04-01,11998.90,13829.50,11733.00,12564.00,7400,12521.97
2016-03-01,9892.00,12394.40,9752.35,12116.90,23100,12076.37
2016-02-01,12120.00,12489.70,9781.60,9880.95,13800,9847.90
2016-01-01,13465.00,13865.00,11827.00,12103.20,8200,12039.15
2015-12-01,12930.00,13498.90,12461.30,13369.70,7500,13298.95
2015-11-02,14015.00,14067.40,11769.70,13229.10,10700,13159.09
2015-10-01,13290.00,14788.80,13200.20,14073.90,8000,13975.18
2015-09-01,14201.90,14420.00,12667.00,13272.10,11000,13179.00
2015-08-03,13700.00,15075.00,12907.80,14202.00,23200,14102.38
2015-07-01,15190.00,15630.00,13353.70,13699.00,15100,13583.78
2015-06-01,16299.00,17000.00,13500.00,15115.20,17000,14988.07
2015-05-01,13654.00,16500.00,13210.00,16204.80,8700,16048.52
2015-04-01,13702.00,14468.70,12530.00,13654.00,7100,13522.32
2015-03-02,11949.00,14774.00,11600.20,13731.00,10600,13598.58
2015-02-02,11800.00,12100.00,11153.10,11599.70,9200,11487.83
2015-01-01,11681.00,12539.00,10680.00,11795.00,11000,11663.38
2014-12-01,9584.90,12850.00,9505.30,11754.00,21800,11622.84
2014-11-03,9000.00,10390.00,8775.00,9517.60,11800,9411.39
2014-10-01,7950.65,9938.00,7855.80,8908.80,8700,8792.98
2014-09-01,7122.00,8350.85,7120.00,7950.65,8100,7847.28
2014-08-01,7981.00,8109.00,7101.00,7122.15,6800,7029.55
2014-07-01,7199.95,8205.00,6457.50,8035.20,5800,7914.62
2014-06-02,6424.00,7470.00,5880.65,7161.75,9800,7054.27
2014-05-01,5822.00,6495.00,5700.00,6464.30,8500,6350.99
2014-04-01,6489.55,6489.55,5600.00,5822.00,10700,5719.95
2014-03-03,5939.95,6738.00,5870.00,6489.55,21200,6375.79
2014-02-03,5699.90,6110.00,5456.85,5869.15,30000,5766.27
2014-01-01,5140.05,5980.00,5140.05,5696.85,5100,5582.19
2013-12-02,5299.00,5337.85,5010.00,5172.60,5500,5068.49
2013-11-01,4484.90,5464.90,4460.10,5248.55,5600,5142.91
2013-10-01,4395.00,4599.00,4301.50,4470.80,4200,4367.53
2013-09-02,4001.05,4538.50,3850.00,4393.55,6200,4292.06
2013-08-01,4466.00,4579.00,3900.00,3995.65,6200,3903.35
2013-07-01,4185.00,4679.95,4040.00,4375.10,8800,4274.04
2013-06-03,4250.00,4311.95,3900.00,4096.55,6800,3989.44
2013-05-01,3591.80,4440.00,3570.20,4237.75,5100,4113.18
2013-04-01,3330.55,3779.90,3304.10,3591.80,5300,3486.22
2013-03-01,3320.00,3489.95,3180.00,3330.55,5100,3232.65
2013-02-01,3399.95,3500.00,3153.85,3277.10,8400,3180.77
2013-01-01,3437.95,3603.95,3321.50,3394.25,5200,3280.55
2012-12-03,3316.10,3609.65,3270.40,3424.35,3200,3309.64
2012-11-01,3345.00,3479.00,3188.90,3351.60,4600,3239.33
2012-10-01,3190.00,3489.95,3162.00,3352.65,2400,3228.65
2012-09-03,3020.00,3475.00,2986.00,3179.65,8200,3062.05
2012-08-01,2926.50,3276.00,2915.15,3007.10,6300,2895.88
2012-07-02,2925.00,3050.00,2800.00,2948.50,8800,2839.44
2012-06-01,3110.00,3175.00,2776.05,2885.15,3500,2768.85
2012-05-01,3128.20,3271.20,2802.05,3091.20,10600,2956.51
2012-04-02,2700.00,3209.95,2631.20,3128.20,10600,2991.90
2012-03-01,2520.00,2720.00,2482.00,2698.15,6900,2580.59
2012-02-01,2465.00,3044.40,2425.00,2507.35,8000,2398.10
2012-01-02,2419.95,2650.00,2380.00,2464.45,2000,2348.23
2011-12-01,2575.00,2710.00,2250.00,2393.90,2700,2281.01
2011-11-01,2525.00,2784.00,2368.00,2556.60,6500,2436.03
2011-10-03,2540.00,2619.95,2340.00,2537.95,2400,2407.03
2011-09-02,2580.00,2769.95,2457.00,2533.55,6700,2402.86
2011-08-01,2293.00,2770.00,1775.05,2580.35,24700,2447.25
2011-07-01,1850.00,2485.00,1850.00,2258.90,12100,2138.58
2011-06-01,1730.00,1967.85,1685.00,1910.05,3800,1808.31
2011-05-02,1632.00,1761.95,1590.00,1683.45,2000,1589.18
2011-04-01,1620.00,1790.00,1606.35,1645.20,4300,1553.07
2011-03-01,1559.00,1640.00,1354.00,1627.65,2600,1536.50
2011-02-01,1480.00,1750.00,1273.05,1573.05,3100,1484.96
2011-01-03,1534.00,1649.90,1450.00,1491.25,1200,1404.05
2010-12-01,1450.00,1551.00,1300.15,1522.05,6200,1433.05
2010-11-01,1281.15,1479.80,1260.00,1451.50,4300,1366.63
2010-10-01,1240.05,1439.95,1211.00,1284.85,4200,1202.74
2010-09-01,1226.15,1283.00,1200.00,1230.10,6300,1151.49
2010-08-02,1128.00,1351.20,1122.00,1247.75,7600,1168.01
2010-07-01,942.00,1135.00,930.00,1119.60,1100,1048.05
2010-06-01,820.05,970.00,820.05,936.00,1000,876.19
2010-05-03,853.80,980.00,791.05,815.80,1000,755.56
2010-04-01,797.00,847.90,797.00,822.25,2600,761.53
2010-03-02,802.00,820.00,761.05,806.05,1800,746.53
2010-02-01,800.00,869.90,782.00,809.90,1800,750.10
2010-01-01,873.00,915.00,793.00,827.50,1800,760.82
