Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,446.05,509.30,434.50,478.30,2500,478.30
2016-05-02,492.50,526.00,441.80,446.70,3900,446.70
2016-04-01,360.00,521.40,360.00,486.40,16800,486.40
2016-03-01,395.00,425.00,360.00,364.00,3700,364.00
2016-02-01,484.80,500.00,376.00,387.55,1100,387.55
2016-01-01,505.45,512.00,405.05,467.25,900,467.25
2015-12-01,507.00,531.00,475.00,508.50,1700,508.50
2015-11-02,530.00,545.25,466.00,507.00,1600,507.00
2015-10-01,538.20,565.90,441.15,523.95,1400,523.95
2015-09-01,515.00,547.20,445.95,528.85,2000,528.85
2015-08-03,573.05,599.50,451.00,519.20,4200,518.713
2015-07-01,485.60,614.55,479.05,562.25,7500,561.723
2015-06-01,1705.50,1845.30,450.00,475.15,6900,237.352
2015-05-01,1458.00,1774.50,1362.00,1701.00,23500,424.851
2015-04-01,1300.00,1540.00,1300.00,1458.00,48600,364.158
2015-03-02,1441.50,1453.00,1240.00,1292.00,2800,322.697
2015-02-02,1325.40,1520.00,1213.50,1415.50,7500,353.543
2015-01-01,1127.80,1500.00,1116.00,1317.80,12000,329.141
2014-12-01,893.10,1154.40,893.10,1127.80,9300,281.686
2014-11-03,1089.80,1089.80,940.70,984.40,9500,245.869
2014-10-01,962.70,1084.00,950.70,1035.40,10100,258.607
2014-09-01,864.00,1050.00,838.00,959.10,11000,239.55
2014-08-01,779.00,896.10,741.40,864.50,8100,215.434
2014-07-01,769.20,837.30,732.10,780.00,10500,194.377
2014-06-02,724.60,830.00,724.60,761.00,10000,189.642
2014-05-01,606.00,766.00,590.00,736.10,10900,183.437
2014-04-01,597.00,631.70,570.70,606.00,5300,151.016
2014-03-03,519.80,622.80,500.00,589.40,8100,146.879
2014-02-03,475.80,553.60,454.00,504.50,8600,125.722
2014-01-01,457.30,511.00,428.20,461.80,16000,115.081
2013-12-02,358.00,474.00,338.30,454.00,23800,113.137
2013-11-01,1720.00,1724.00,338.00,353.80,10000,88.167
2013-10-01,1744.00,1842.00,1610.00,1706.90,25200,85.072
2013-09-02,1450.00,1798.00,1412.00,1703.70,3800,84.913
2013-08-01,1590.00,1590.00,1420.00,1450.00,1400,70.261
2013-07-01,1620.00,1639.80,1337.60,1564.50,5500,75.809
2013-06-03,1339.10,1618.00,1294.50,1591.00,4400,77.093
2013-05-01,1186.20,1377.80,1100.00,1312.00,7900,63.574
2013-04-01,1102.00,1237.80,1000.40,1186.20,6600,57.478
2013-03-01,1270.00,1395.40,995.00,1173.20,51100,56.848
2013-02-01,1572.20,1642.00,1180.30,1271.60,8900,61.616
2013-01-01,1620.00,1833.90,1562.20,1633.00,6200,79.128
2012-12-03,1700.00,1700.00,1480.50,1607.50,7200,77.893
2012-11-01,1640.00,1816.00,1458.00,1611.00,33500,78.062
2012-10-01,1460.00,1680.00,1364.00,1639.90,20300,79.463
2012-09-03,1308.00,1612.20,1250.00,1451.30,70200,70.324
2012-08-01,1120.00,1280.00,988.00,1248.10,14400,59.036
2012-07-02,1014.00,1118.00,988.20,1100.80,4500,52.068
2012-06-01,844.60,1060.00,750.00,1029.50,11700,48.696
2012-05-01,650.00,930.00,629.40,866.60,25500,40.991
2012-04-02,629.90,700.00,606.20,650.00,39800,30.745
2012-03-01,659.80,660.00,570.20,608.10,11300,28.763
2012-02-01,570.00,760.00,570.00,646.70,38000,30.589
2012-01-02,552.60,648.00,470.10,554.50,11700,26.228
2011-12-01,598.00,632.00,470.00,479.00,4600,22.657
2011-11-01,880.00,900.00,550.00,607.10,44200,28.716
2011-10-03,844.00,947.70,822.40,875.20,13400,41.397
2011-09-02,630.00,882.00,604.60,879.50,44600,41.601
2011-08-01,614.00,648.00,510.00,648.00,21400,29.80
2011-07-01,560.00,668.00,559.90,591.00,42700,27.179
2011-06-01,488.00,600.00,482.60,599.20,81100,27.556
2011-05-02,562.90,569.80,478.00,479.80,6300,22.065
2011-04-01,540.20,597.80,504.40,562.90,19200,25.886
2011-03-01,550.00,565.90,450.00,557.90,179900,25.656
2011-02-01,592.00,603.00,430.00,562.60,48700,25.872
2011-01-03,749.90,784.40,582.00,610.00,21000,28.052
2010-12-01,759.00,773.90,616.00,754.70,150000,34.707
2010-11-01,861.00,902.00,640.00,710.70,126100,32.683
2010-10-01,897.80,1028.00,792.00,874.90,50000,39.731
2010-09-01,833.50,950.00,806.30,878.20,65000,39.881
2010-08-02,802.00,920.00,700.00,816.20,90100,36.225
2010-07-01,740.00,860.00,680.00,800.50,117600,35.528
2010-06-01,601.00,762.90,542.00,730.30,74800,32.413
2010-05-03,640.00,678.00,522.00,609.90,48000,27.069
2010-04-01,458.40,669.00,443.10,635.40,158100,28.201
2010-03-02,382.30,500.00,382.20,447.40,69200,19.857
2010-02-01,360.00,428.70,356.00,380.50,134500,16.888
2010-01-04,390.00,409.90,332.20,357.50,34700,15.867
