Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,544.80,580.90,530.10,569.50,7200,569.50
2016-05-02,580.00,633.50,510.40,534.95,3400,534.95
2016-04-01,500.00,629.50,500.00,588.90,3900,588.90
2016-03-01,480.00,542.90,462.00,500.00,24800,500.00
2016-02-01,550.00,568.75,439.00,480.50,8100,480.50
2016-01-01,670.00,704.00,502.25,549.50,8100,549.50
2015-12-01,557.75,640.00,500.00,640.00,5300,640.00
2015-11-02,442.00,559.90,420.50,549.30,10700,549.30
2015-10-01,400.00,466.90,397.40,441.10,6900,441.10
2015-09-01,405.00,414.00,350.00,400.10,5200,400.10
2015-08-03,435.50,460.50,372.70,415.30,23500,415.30
2015-07-01,364.30,488.00,364.30,438.10,13200,438.10
2015-06-01,364.50,373.80,300.00,347.00,38200,345.46
2015-05-01,323.70,383.60,291.60,364.00,1100,362.38
2015-04-01,323.00,419.00,285.50,323.70,2900,322.26
2015-03-02,350.80,400.40,287.20,310.00,4300,308.62
2015-02-02,229.90,431.70,229.90,388.60,52100,386.87
2015-01-01,181.55,225.40,181.55,225.40,000,224.40
2014-12-01,88.25,178.00,88.25,178.00,000,177.21
2014-11-03,62.85,88.25,62.85,88.25,000,87.86
2014-10-01,51.80,62.85,51.80,62.85,000,62.57
2014-09-01,51.10,51.80,47.00,51.80,000,51.57
2014-08-01,76.40,76.40,51.10,51.10,000,50.87
2014-07-01,70.00,93.60,70.00,80.40,000,80.04
2014-06-02,65.50,70.00,65.50,70.00,000,69.69
2014-05-01,65.55,72.20,65.40,65.50,000,65.21
2014-04-01,54.00,65.55,54.00,65.55,000,65.26
2014-03-03,49.00,54.00,48.00,54.00,000,53.76
2014-02-03,49.00,49.00,49.00,49.00,000,48.78
2014-01-01,49.00,49.00,49.00,49.00,000,48.78
2013-12-02,48.85,49.00,48.85,49.00,000,48.78
2013-11-01,48.85,48.85,48.85,48.85,000,48.63
2013-10-01,48.85,48.85,48.85,48.85,000,48.63
2013-09-02,48.85,48.85,48.85,48.85,000,48.63
2013-08-01,48.85,48.85,48.85,48.85,000,48.63
2013-07-01,48.85,48.85,48.85,48.85,000,48.63
2013-06-03,48.85,48.85,48.85,48.85,000,48.63
2013-05-01,48.85,48.85,48.85,48.85,000,48.63
2013-04-01,48.85,48.85,48.85,48.85,000,48.63
2013-03-01,48.85,48.85,48.85,48.85,000,48.63
2013-02-01,49.50,56.00,49.50,51.40,000,51.17
2013-01-01,47.65,51.90,47.65,49.50,000,49.28
2012-12-03,70.00,70.00,47.65,47.65,000,47.44
2012-11-01,73.50,80.00,66.60,69.00,000,68.69
2012-10-01,114.20,114.20,71.30,71.55,000,71.23
2012-09-03,113.90,114.20,108.00,114.20,000,113.69
2012-08-01,111.00,115.00,105.50,110.00,000,109.51
2012-07-02,106.95,117.85,101.40,111.00,000,110.51
2012-06-01,114.05,114.05,97.50,106.95,000,106.47
2012-05-01,119.25,119.25,114.05,114.05,000,113.54
2012-04-02,108.15,120.00,98.10,119.25,000,118.72
2012-03-01,118.80,154.80,107.10,113.80,000,113.29
2012-02-01,72.90,133.10,71.55,125.00,100,124.44
2012-01-02,128.00,128.00,76.55,76.55,000,76.21
2011-12-01,135.50,142.25,122.35,128.00,000,127.43
2011-11-04,188.00,196.75,135.50,135.50,000,134.90
2011-10-19,184.50,184.50,175.60,180.00,000,179.20
2011-09-02,176.00,194.20,167.25,194.20,000,193.34
2011-08-01,169.65,185.05,168.00,176.00,000,175.22
2011-07-04,259.45,285.95,169.65,169.65,200,168.90
2011-06-27,260.10,260.10,260.10,260.10,000,258.94
2011-04-04,269.85,282.00,269.85,273.75,000,272.53
2011-03-03,241.10,284.00,196.45,284.00,000,282.74
2011-01-03,311.45,311.45,253.75,253.75,000,252.62
2010-12-01,138.50,345.00,138.50,327.80,000,326.34
2010-11-04,63.75,131.95,63.75,131.95,000,131.36
2010-10-06,55.15,60.75,55.15,60.75,000,60.48
2010-09-01,41.25,52.55,41.25,52.55,000,52.32
2010-08-25,37.45,39.30,37.45,39.30,20000,39.13
