Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,2260.05,2399.00,2080.00,2220.40,600,2220.40
2016-05-02,2297.50,2580.00,2233.05,2275.50,800,2275.50
2016-04-01,2100.00,2350.00,2062.00,2271.00,300,2243.82
2016-03-01,1925.00,2149.75,1915.00,2100.00,400,2074.87
2016-02-01,2152.00,2250.00,1840.00,1924.00,900,1900.97
2016-01-01,2556.00,2572.00,1915.50,2108.50,1200,2083.26
2015-12-01,2070.00,2572.00,1962.00,2558.50,2000,2527.88
2015-11-02,1642.00,2080.00,1638.25,2072.50,2500,2047.70
2015-10-01,1675.00,1880.00,1615.00,1709.75,600,1689.29
2015-09-01,1607.00,1995.00,1525.00,1617.00,500,1597.65
2015-08-03,1300.00,1993.00,1280.00,1623.50,3700,1604.07
2015-07-01,1230.00,1348.00,1180.00,1283.00,300,1267.64
2015-06-01,1110.00,1325.00,1010.00,1267.25,700,1252.08
2015-05-01,889.00,1226.00,802.50,1125.00,800,1111.54
2015-04-01,779.75,1050.00,751.00,889.00,1000,878.36
2015-03-02,884.50,918.50,745.00,762.50,1600,741.15
2015-02-02,851.25,920.00,720.00,886.00,700,861.19
2015-01-01,832.00,875.00,807.00,854.25,300,830.33
2014-12-01,855.00,950.00,799.50,830.00,500,806.76
2014-11-03,985.00,1058.80,830.05,856.60,1100,832.61
2014-10-01,1020.00,1095.00,940.00,988.70,400,961.01
2014-09-01,1034.50,1111.00,885.00,1024.15,2100,995.47
2014-08-01,667.45,1122.00,640.30,1024.75,2600,996.05
2014-07-01,630.15,753.00,607.35,695.00,600,675.54
2014-06-02,505.00,710.00,497.05,636.10,1500,618.29
2014-05-01,505.00,548.00,463.05,500.00,500,486.00
2014-04-01,460.00,515.00,454.00,505.00,600,476.28
2014-03-03,519.00,548.00,391.00,457.60,1400,431.57
2014-02-03,417.95,491.70,390.60,490.25,1200,462.37
2014-01-01,404.00,430.05,391.00,401.05,200,378.24
2013-12-02,403.50,417.00,376.50,402.00,200,379.14
2013-11-01,371.90,406.00,360.20,390.00,100,367.82
2013-10-01,301.00,370.25,300.00,370.25,500,349.19
2013-09-02,302.00,306.00,293.00,301.00,000,283.88
2013-08-01,280.00,334.00,265.15,302.00,000,284.82
2013-07-01,300.00,300.05,270.05,274.10,000,258.51
2013-06-03,330.00,339.90,291.50,300.00,000,282.94
2013-05-01,321.00,366.00,311.10,339.00,000,309.63
2013-04-01,333.00,390.00,305.05,321.00,000,293.19
2013-03-01,372.05,375.00,315.00,329.70,1000,301.13
2013-02-01,365.05,424.00,345.00,364.00,200,332.46
2013-01-01,371.10,396.50,350.60,362.00,200,330.63
2012-12-03,372.35,423.95,356.65,383.60,100,350.36
2012-11-01,379.95,458.00,370.00,388.95,300,355.25
2012-10-01,376.00,409.95,351.00,375.00,200,342.51
2012-09-03,290.00,421.00,288.00,383.55,1000,350.32
2012-08-01,230.55,318.00,226.00,293.90,400,268.44
2012-07-02,249.05,260.00,230.00,230.00,200,210.07
2012-06-01,251.05,272.80,240.00,251.65,000,229.85
2012-05-01,278.00,286.95,248.60,257.90,100,235.55
2012-04-02,279.95,329.85,265.00,278.00,200,253.91
2012-03-01,294.95,294.95,230.05,273.00,100,243.42
2012-02-01,287.00,314.00,262.05,296.40,400,264.28
2012-01-02,260.50,305.00,249.00,286.95,100,255.85
2011-12-01,298.05,307.00,250.00,260.10,100,231.91
2011-11-01,290.15,316.95,260.00,297.95,300,265.66
2011-10-03,275.60,316.45,270.00,296.00,200,263.92
2011-09-02,296.50,304.50,280.00,281.05,200,250.59
2011-08-02,321.55,325.00,259.00,280.70,200,250.28
2011-07-01,319.95,358.90,302.10,326.65,300,291.25
2011-06-01,320.00,375.00,310.25,315.00,300,280.87
2011-05-02,400.00,401.00,308.00,319.00,200,284.43
2011-04-01,313.80,438.00,310.90,398.35,1100,345.84
2011-03-01,311.05,333.50,277.00,310.70,100,269.74
2011-02-01,295.00,349.00,275.20,315.70,200,274.08
2011-01-03,343.95,399.00,270.00,300.00,200,260.45
2010-12-01,324.95,349.95,302.00,334.25,200,290.19
2010-11-01,389.95,389.95,280.10,312.65,200,271.44
2010-10-01,373.45,393.95,335.00,340.15,300,295.31
2010-09-01,370.95,408.95,339.00,380.10,1000,329.99
2010-08-02,360.15,413.00,341.25,342.50,600,297.35
2010-07-01,370.20,421.25,360.00,377.05,700,327.35
2010-06-01,370.00,396.00,360.00,376.95,300,327.26
2010-05-03,340.50,424.95,340.50,370.00,1600,321.23
2010-04-01,302.20,365.00,302.20,349.50,1500,303.43
2010-03-02,276.90,368.00,272.00,302.20,1700,262.36
2010-02-01,278.40,326.30,260.00,262.05,800,220.36
2010-01-04,281.90,369.95,272.50,300.00,2700,252.27
