Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,94.00,104.90,83.70,92.75,70200,92.75
2016-05-02,92.30,94.30,71.00,93.45,52200,93.45
2016-04-01,98.50,105.95,89.95,90.20,52300,90.20
2016-03-01,66.45,104.90,65.15,98.85,94400,98.85
2016-02-01,80.00,83.20,60.60,64.10,75000,64.10
2016-01-01,98.05,107.80,70.70,78.85,152800,78.85
2015-12-01,119.80,123.50,98.40,99.20,176900,99.20
2015-11-02,122.00,133.80,109.20,118.40,160500,118.40
2015-10-01,132.70,176.89999,119.90,123.90,433500,123.90
2015-09-01,99.00,134.80,83.00,131.30,216800,131.30
2015-08-03,107.40,119.90,81.00,98.90,294000,98.44403
2015-07-01,54.55,113.00,54.30,107.10,301300,106.60622
2015-06-01,54.45,59.65,48.00,55.50,80500,55.24412
2015-05-01,49.80,63.40,45.10,53.95,106700,53.70127
2015-04-01,50.50,63.75,49.20,49.80,70600,49.5704
2015-03-02,52.50,61.25,45.30,49.35,63800,49.12247
2015-02-02,64.00,68.40,49.15,50.60,48600,50.36671
2015-01-01,50.30,70.25,50.30,63.10,96600,62.80908
2014-12-01,58.65,61.30,44.00,51.00,34700,50.76487
2014-11-03,67.90,74.25,50.50,55.90,109300,55.64228
2014-10-01,82.00,82.00,61.00,65.70,75500,65.39709
2014-09-01,55.90,98.85,54.15,78.30,215300,77.93901
2014-08-01,38.00,63.45,38.00,54.20,188600,53.95012
2014-07-01,27.25,36.20,23.15,36.20,72000,35.32309
2014-06-02,21.60,28.00,20.10,26.10,134600,25.46775
2014-05-01,19.20,20.60,14.85,20.60,105300,20.10099
2014-04-01,18.00,24.90,18.00,19.20,90600,18.7349
2014-03-03,18.20,21.50,16.30,18.00,44000,17.56397
2014-02-03,12.79,22.21,11.01,19.11,83700,18.64708
2014-01-01,10.00,16.19,9.36,12.08,33300,11.78737
2013-12-02,10.00,10.80,9.03,9.11,5600,8.88932
2013-11-01,9.35,10.00,8.60,10.00,20500,9.75776
2013-10-01,10.40,10.99,9.03,9.05,55600,8.83077
2013-09-02,9.99877,12.1303,9.93095,10.40,11100,10.14807
2013-08-01,10.0957,10.0957,8.1676,9.52402,3700,9.29331
2013-07-01,7.6541,9.99877,7.14059,9.99877,11300,9.75656
2013-06-03,7.9932,8.04165,6.63678,7.33437,1900,7.1567
2013-05-01,7.50877,8.90394,6.07483,7.61534,1700,7.43087
2013-04-01,7.75098,7.75098,5.33849,7.50877,3400,7.32688
2013-03-01,8.07071,9.25274,5.83262,6.59803,5400,6.4382
2013-02-01,11.4327,11.4327,6.78211,7.34406,11700,7.16616
2013-01-01,11.2389,12.4791,9.66935,9.8825,10900,9.64311
2012-12-03,10.5413,13.3705,10.086,11.5877,19900,11.307
2012-11-01,11.0548,12.9829,9.94064,10.0666,19100,9.82275
2012-10-01,13.2832,15.7829,10.9095,11.5587,29700,11.2787
2012-09-03,13.4673,14.5234,12.1884,13.5642,35900,13.23562
2012-08-01,14.9691,15.4051,11.8299,12.605,18500,12.29966
2012-07-02,12.3531,18.021,12.3531,14.4459,51700,14.09596
2012-06-01,12.4694,13.322,10.0375,12.6632,33800,12.35645
2012-05-01,12.5178,15.502,11.4327,12.1303,36600,11.83646
2012-04-02,10.3379,13.5158,10.3282,12.5178,11700,12.21457
2012-03-01,14.039,14.7172,10.2604,10.551,16700,10.29541
2012-02-01,14.9206,15.3469,10.5123,13.9421,62800,13.60437
2012-01-02,15.502,18.021,12.4016,14.0487,34000,13.70838
2011-12-01,14.4459,20.2882,14.1455,15.3566,63200,14.9846
2011-11-01,20.4917,22.8654,11.0451,13.758,74800,13.42473
2011-10-03,11.2874,19.8425,9.74686,19.8425,132100,19.36184
2011-09-02,8.66172,11.9074,8.39044,11.2971,31800,11.02344
2011-08-01,8.10947,8.67141,6.82087,8.28386,21300,8.08319
2011-07-01,4.9897,9.61122,4.9897,8.52608,23200,8.31954
2011-06-01,5.81324,6.1039,5.16409,5.19316,4600,5.06736
2011-05-02,5.39662,6.1039,5.16409,5.81324,3900,5.67242
2011-04-04,4.40837,7.49908,4.01113,5.6776,15500,5.54007
2011-03-01,4.35993,4.73779,3.92394,4.16615,2000,4.06523
2011-02-01,4.08864,4.74748,3.29417,4.23398,5400,4.13142
2011-01-03,4.23398,5.13503,3.953,4.09833,5300,3.99905
2010-12-01,4.11771,4.78623,3.29417,4.25335,9500,4.15032
2010-11-01,4.4665,5.39662,3.87549,4.11771,8300,4.01796
2010-10-01,4.4665,5.28036,4.24366,4.69903,11800,4.5852
2010-09-01,4.08864,5.18347,4.06927,4.41806,12700,4.31104
2010-08-02,4.18553,4.59246,3.94331,4.08864,5100,3.9896
2010-07-01,4.96063,5.02845,4.07896,4.26304,4600,4.15977
2010-06-01,4.26304,4.68935,3.92394,4.13709,5300,4.03687
2010-05-03,4.5537,4.84437,3.7786,4.32117,4500,4.21649
2010-04-01,4.31148,5.49351,4.31148,4.5537,3500,4.44339
2010-03-01,4.45682,4.78623,4.0402,4.31148,4600,4.20704
2010-02-01,4.65059,5.18347,4.02082,4.45682,6200,4.34886
2010-01-01,4.5537,6.44301,4.26304,4.5537,17300,4.44339
